[1.238158880978446e-16, 0.9999982643249887]
[-0.0004140344265058534, 1.9999980696182817]
[-0.0007243149194875607, 2.9999979124868426]
[-0.0009308414756050874, 3.99999778216579]
[-0.0010227146505942253, 4.893943729494983]
[0.09638250423848943, 5.868110475482129]
[0.144958131092287, 6.760735690039016]
[0.28219271468619006, 7.644085017458681]
[0.5067216268041443, 8.509374641116619]
[0.8163122050896792, 9.348000325807824]
[1.207885954111911, 10.15162297622507]
[1.6775491571954346, 10.912251558948789]
[2.2206315946173065, 11.622322563391927]
[2.831732983166537, 12.274775211558957]
[3.5047766752821006, 12.863121668750992]
[4.233070083797951, 13.381511557058365]
[5.0093712314456775, 13.824790130133797]
[5.896262961175081, 14.219866470726007]
[6.805995760569869, 14.568367918965311]
[7.735607006090492, 14.87196384951406]
[8.680907221764738, 15.132787422198168]
[9.639615739362208, 15.352887905329492]
[10.609955461346926, 15.535118071934068]
[11.589127970490718, 15.683437056446683]
[12.574558823436314, 15.801775739590743]
[13.564909613829613, 15.893512424131002]
[14.456085825337786, 15.955353762338776]
[15.336630248497718, 16.105889173160712]
[16.197738013371175, 16.34361340066818]
[17.030798603926154, 16.666149357630463]
[17.82748195758139, 17.070271894836733]
[18.57982176039929, 17.5519400504847]
[19.280295105029655, 18.106337457163107]
[19.921897714876717, 18.7279205023846]
[20.498213982296903, 19.410473761095048]
[21.00348112049098, 20.147172145870364]
[21.478771838124718, 21.014854203538633]
[21.910928283946895, 21.868257486126016]
[22.294608941142247, 22.76588155299084]
[22.634042845822886, 23.67953575195852]
[22.928542340132235, 24.611761719920093]
[23.180173485962804, 25.560573442023294]
[23.391954841352728, 26.522041707510002]
[23.56674168711715, 27.49447454401511]
[23.708432169599277, 28.47482771610002]
[23.82043701608844, 29.461478797148214]
[23.906666449061678, 30.452828170213163]
[23.971142136911844, 31.44684458505502]
[24.016183498776012, 32.44313961055482]
[24.04502800495739, 33.441056754488834]
[24.06108455665681, 34.43988892935661]
[24.067029155766825, 35.43939451012716]
[24.066115678734743, 36.43919414554]
[24.060758720253183, 37.4391187789739]
